Canonical_SMILES	Source
O1[C]([C]C2=c3c(=[C][C]=C12)oc1c(c3=O)C(=[C][C]=[C]1)O)[C@@]1(O[C]1)[C]O	PDBQT/dock_0129.pdbqt
o1c2=C(C(=[C]C(=c2c(=O)c2c1[C]=[C][C]=C2O)O[C])O)[C]([C](O)[C]O)[C]O	PDBQT/dock_0130.pdbqt
o1c2c(C(=[C]C(=[C]2)[C])[C]O)c(=O)c2c1[C]=[C][C]=C2O	PDBQT/dock_0131.pdbqt
O1C([C][C]c2c1c(c(c1oc3c(c(=O)c21)C(=C1C(=[C]3)OC([C]=[C]1)([C])[C])O)[C][C]=C([C])[C])O)([C])[C]	PDBQT/dock_0132.pdbqt
O1[C]2OC3=[C]C(=c4c(=C3[C]2[C][C]1)oc1=[C][C]=[C]C(=c1c4=O)O)O	PDBQT/dock_0133.pdbqt
o1c2=[C][C]=C([C]=c2c(=O)c2=[C]C(=[C][C]=c12)C(=O)O)S(=O)(=O)N([C])[C]	PDBQT/dock_0134.pdbqt
o1c2=[C]C(=[C]C(=c2c(=O)c2=C([C]=[C][C]=c12)O)C(=O)O)[C]	PDBQT/dock_0135.pdbqt
o1c2c(C3=[C][C]=[C][C]=C3[C]=[C]2)c(=O)c2c1[C]=C([C]=C2O)O	PDBQT/dock_0136.pdbqt
O1[C][C]([C](C2=C1C(=[C]c1oc3c(c(=O)c21)C(=[C][C]=C3[C][C]=C([C])[C])O)[C])O)C(=[C])[C]	PDBQT/dock_0137.pdbqt
o1c2=C(C(=[C]C(=c2c(=O)c2=[C]C(=C([C]=c12)O)O)O)O)[C]1O[C]([C]([C]([C]1O)O)O)[C]O	PDBQT/dock_0138.pdbqt
o1c2=[C]C(=C(C(=c2c(=O)c2=C([C]=C([C]=c12)O)O)[C][C]=C([C])[C])O)O	PDBQT/dock_0139.pdbqt
o1c2=C([C]=C(C(=c2c(=O)c2=[C][C]=C(C(=c12)O)O)O)O)C([C])([C])[C]=[C]	PDBQT/dock_0140.pdbqt
O1C([C]=[C]C2=C1c1oc3c(c(=O)c1C(=[C]2)O)[C]=[C][C]=C3O)([C])[C]	PDBQT/dock_0141.pdbqt
o1c2=[C]C(=C(C(=c2c(=O)c2=[C][C]=[C]C(=c12)O[C])O)[C][C]=C([C])[C])O[C]	PDBQT/dock_0142.pdbqt
o1c2=[C]C(=C(C(=c2c(=O)c2=C([C]=[C]C(=c12)O[C])O)O)[C][C]=C([C])[C])O[C]	PDBQT/dock_0143.pdbqt
o1c2c(c(c(c(c2c(=O)c2=[C][C]=[C]C(=c12)O[C])O)[C][C]=C([C])[C])O[C])[C][C]=C([C])[C]	PDBQT/dock_0144.pdbqt
O1[C]2OC3=[C]C(=c4c(=C3[C]2[C][C]1)oc1=[C][C]=[C]C(=c1c4=O)O[C])O[C]	PDBQT/dock_0145.pdbqt
o1c2c(c(=O)c3c1[C]=[C]C(=[C]3)O[C])C(=C(C(=[C]2)O[C])O[C])O[C]	PDBQT/dock_0146.pdbqt
o1c2c(c(c(c(c2c(=O)c2=[C][C]=C(C(=c12)O)O)O)[C][C]=C([C])[C])O)C([C])([C])[C]=[C]	PDBQT/dock_0147.pdbqt
o1c2=[C]C(=[C][C]=c2c(=O)c2=[C]C(=[C][C]=c12)O)O	PDBQT/dock_0148.pdbqt
O1[C]2[C](OC3=[C]C(=c4c(=C23)oc2c(c4=O)[C]=[C][C]=C2O)O[C])[C@]([C]1)([C])O	PDBQT/dock_0149.pdbqt
o1c2=[C][C]=C(C(=c2c(=O)c2=[C][C]=[C][C]=c12)O[C])O[C]	PDBQT/dock_0150.pdbqt
O1[C]([C]([C]([C]([C]1OC1=c2c(=[C]C(=[C]1)O[C])oc1c(c2=O)[C]=C([C]=[C]1)O)O)O)O)[C]O[C]1O[C][C]([C]([C]1O)O)O	PDBQT/dock_0151.pdbqt
ClC1=[C]c2c(oc3c(c2=O)[C]=C([C]=[C]3)C(=O)O)[C]=[C]1	PDBQT/dock_0152.pdbqt
o1c2c(c(=O)c3=[C][C]=[C][C]=c13)[C]=[C]C1=C2[C]=[C][C]=[C]1	PDBQT/dock_0153.pdbqt
o1c2=[C]C(=C(C(=c2c(=O)c2c1[C]=C(C(=[C]2)O)O)O)[C]1O[C]([C]([C]([C]1O)O)O)[C]O)O[C]	PDBQT/dock_0154.pdbqt
o1c2=[C]C(=C(C(=c2c(=O)c2c1C(=C([C]=C2[C][C]=C([C])[C])O)O)O)C([C])([C])[C]=[C])O	PDBQT/dock_0155.pdbqt
o1c2=[C][C]=C([C]=c2c(=O)c2=C([C]=[C][C]=c12)O)O[C]	PDBQT/dock_0156.pdbqt
o1c2=[C]C(=[C]C(=c2c(=O)c2=[C][C]=[C]C(=c12)O[C])O[C])O[C]	PDBQT/dock_0157.pdbqt
o1c2c(C(=C(C(=[C]2)O)O[C])[C]/[C]=C(\[C])/[C][C][C]=C([C])[C])c(=O)c2c1[C]=C(C(=C2O)[C][C]=C([C])[C])O	PDBQT/dock_0158.pdbqt
o1c2c(c(c(c(c2c(=O)c2c1C(=[C][C]=C2O)O)O)[C][C]=C([C])[C])O[C])[C][C]=C([C])[C]	PDBQT/dock_0159.pdbqt
O1C([C]=[C]C2=C1[C]=C(c1c2oc2c(c1=O)[C]=C([C]=[C]2)O)O)([C])[C]	PDBQT/dock_0160.pdbqt
O1[C](C(C2=C(c3c(oc4=C(C(=C([C]=c4c3=O)O)O)[C][C]=C([C])[C])[C]=C12)O)([C])[C])[C]	PDBQT/dock_0161.pdbqt
